"","user_genome","Domain","Phylum","Class","Order","Family","Genus","Species","Completeness","Contamination"
"203","bin_m18.vmb26","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",86.69,0.86
"204","bin_m18.vmb41","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",83.06,0.23
"205","bin_m19.mtb113_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_J","",91.98,3.61
"206","bin_m19.mtb139_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Clostridium_Q","Clostridium_Q symbiosum",80.67,1.69
"207","bin_m19.mtb26","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",88.87,0.75
"208","bin_m19.mtb38","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",94.35,1.64
"209","bin_m19.mtb67","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7182","UBA7182 sp009774145",95.41,3.28
"210","bin_m19.mxb14_sub","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","",89.2,3.79
"211","bin_m19.mxb65","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-485","",79.12,1.51
"212","bin_m19.vmb107","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",89.5,1.36
"213","bin_m19.vmb115","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",95.7,0.03
"214","bin_m19.vmb88","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",91.94,0.03
"215","bin_m2.cct49","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","SFFH01","",77.87,2.45
"216","bin_m2.mtb108","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7182","",93.04,0.63
"217","bin_m2.mtb163","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","UBA7001","",82.37,3.13
"218","bin_m2.mtb182","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","",91.76,1.74
"219","bin_m2.mtb186","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA3402","",81.49,1.29
"220","bin_m2.mtb5_sub","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","","",97.71,1.89
"221","bin_m2.mtb80","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","AM07-15","",74.53,2.35
"222","bin_m2.mxb54","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","RACS-045","",94.18,0.89
"223","bin_m2.mxb83","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","","",93.96,3.58
"224","bin_m2.mxb88","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus murinus",99.48,0.26
"225","bin_m2.vmb102","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173","",95.16,0.75
"226","bin_m2.vmb114","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","","",92.78,0.81
"227","bin_m2.vmb73","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","",88.31,1.92
"228","bin_m21.cct124_sub","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","Paramuribaculum sp001689565",97.17,1.13
"229","bin_m21.cct75_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UMGS1004","",82.74,2.47
"230","bin_m21.mtb157_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","","",94.35,1.24
"231","bin_m21.mtb170","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA1242","UBA11517","",92.02,0
"232","bin_m21.mtb187","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter","",95.7,0.54
"233","bin_m21.mtb45","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-917","CAG-475","",89.49,0
"234","bin_m21.mtb53","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",97.42,0.95
"235","bin_m21.mtb57_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-314","CAG-1435","",82.66,0.02
"236","bin_m21.mtb83","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","","",78.35,1.28
"237","bin_m21.vmb10","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",93.28,1.13
"238","bin_m21.vmb130_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","",73.19,3
"239","bin_m21.vmb39","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","RUG14156","","",86.18,1.99
"240","bin_m22.cct149","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae",96.76,0.1
"241","bin_m22.mtb125","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","",91.01,1.44
"242","bin_m22.mtb136","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","","",92.74,0.1
"243","bin_m22.mtb157","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","",93.2,1.89
"244","bin_m22.mtb184","Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Anaeroplasmataceae","UMGS268","",96,0.11
"245","bin_m22.mtb2","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","","",91.09,1.24
"246","bin_m22.mtb219","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Kineothrix","",96.55,1.15
"247","bin_m22.mtb86_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","",89.77,2.2
"248","bin_m22.mtb89_sub","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UMGS1872","",90.2,4.88
"249","bin_m22.mxb32","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","RACS-045","",94.85,0.92
"250","bin_m22.vmb0","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",97.17,2.08
"251","bin_m22.vmb147_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","14-2","",78.37,3.04
"252","bin_m22.vmb205_sub","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",89.54,1.96
"253","bin_m22.vmb20_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","HGM11386","",90.56,0.35
"254","bin_m22.vmb86","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",85.55,0.43
"255","bin_m24.cct0","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Anaerotignaceae","Anaerotignum","",96.58,1.34
"256","bin_m24.cct106_sub","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","",92.63,1.48
"257","bin_m24.cct128","Bacteria","Firmicutes","Bacilli","RF39","UBA660","UBA5578","",95.51,3.93
"258","bin_m24.cct154","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","","",92,1.34
"259","bin_m24.cct23_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","","",81.57,3.61
"260","bin_m24.cct24","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella","",77.56,0.73
"261","bin_m24.cct4","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","","","",77.06,1.37
"262","bin_m24.cct57_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA3402","",91.43,3.27
"263","bin_m24.cct74","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","CAG-115","",90.2,2.41
"264","bin_m24.mtb106_sub","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UMGS1872","",74.2,2.24
"265","bin_m24.mtb115","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","RACS-045","",73.48,2.02
"266","bin_m24.mtb14","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA1242","UBA6345","",81.29,2.82
"267","bin_m24.mtb157","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","Duncaniella dubosii",98.67,2.64
"268","bin_m24.mtb173","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Muribaculum intestinale",83.96,0.19
"269","bin_m24.mtb176","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","","","",84.23,0.23
"270","bin_m24.mtb184","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",95.97,2.45
"271","bin_m24.mtb207","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",95.09,0.38
"272","bin_m24.mtb3","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA3402","",94.92,1.38
"273","bin_m24.mtb67","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","","",88.53,4.63
"274","bin_m24.mtb8","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UMGS1370","",96.36,0.06
"275","bin_m24.mtb83","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7182","",87.97,1.27
"276","bin_m24.mxb17","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-314","","",93.55,0.43
"277","bin_m24.mxb55","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","",97.99,0.34
"278","bin_m24.vmb102","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","WRBF01","","",70.95,0.22
"279","bin_m24.vmb132_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",81.24,2.45
"280","bin_m24.vmb153","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Allobaculum","",97.17,1.82
"281","bin_m24.vmb166","Bacteria","Firmicutes_B","Dehalobacteriia","UBA4068","UBA5755","","",85.16,0.4
"282","bin_m24.vmb170","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_J","",91.53,4.78
"283","bin_m24.vmb21","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7182","",86.12,1.92
"284","bin_m24.vmb61_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",91.26,0.03
"285","bin_m24.vmb7","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","","",92.74,0.92
"286","bin_m24.vmb87_sub","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Mailhella","",88.87,1.78
"287","bin_m24.vmb88","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","",94.38,1.51
"288","bin_m25.cct11","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-314","CAG-1435","",92.74,1.61
"289","bin_m25.cct140","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","",97.99,0.34
"290","bin_m25.cct35_sub","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",87.91,1.13
"291","bin_m25.mtb107","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","","",96.76,1.72
"292","bin_m25.mtb125","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",94.35,4.86
"293","bin_m25.mtb130","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA3263","",99.43,1.51
"294","bin_m25.mtb132","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","","",94.34,0.47
"295","bin_m25.mtb176","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-485","",94.85,2.26
"296","bin_m25.mtb19","Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Anaeroplasmataceae","UMGS268","",98.67,1.44
"297","bin_m25.mtb2","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7050","",93.49,3.38
"298","bin_m25.mtb4","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-95","",96.14,3.67
"299","bin_m25.mtb47","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","","",86.82,1.39
"300","bin_m25.mtb55_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","COE1","",94.38,2.59
"301","bin_m25.mtb74","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","",98.72,0.77
"302","bin_m25.mtb91","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173","",98.87,1.32
"303","bin_m25.mtb94","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-485","",97.99,0.71
"304","bin_m25.mtb97_sub","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",92.01,0.24
"305","bin_m25.vmb106","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Kineothrix","",86.78,1.92
"306","bin_m25.vmb111","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UMGS1370","",84.81,0.79
"307","bin_m25.vmb114","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",93.55,0.88
"308","bin_m25.vmb122","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173","UBA7173 sp001689685",83.28,0.19
"309","bin_m25.vmb125","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","1XD8-76","",95.45,4.97
"310","bin_m25.vmb13","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-917","CAG-475","",76.73,0.24
"311","bin_m25.vmb131","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","",97.92,0.38
"312","bin_m25.vmb19","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","14-2","14-2 sp004793545",88.51,0.77
"313","bin_m25.vmb27","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",82.96,3.54
"314","bin_m25.vmb37","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",97.92,0
"315","bin_m25.vmb40","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag1","",87.84,1.71
"316","bin_m25.vmb42","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","","","",71.6,0.1
"317","bin_m25.vmb48_sub","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173","",95.71,4.44
"318","bin_m25.vmb76","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","",94.72,1.96
"319","bin_m25.vmb77_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","14-2","",96.36,0.57
"320","bin_m25.vmb85","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-56","",90.51,3.66
"321","bin_m25.vmb86_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-314","CAG-1435","",82.15,2.18
"322","bin_m25.vmb87","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","",93.11,0.38
"323","bin_m3.cct136_sub","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","CAG-115","",84.71,2.91
"324","bin_m3.cct166_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Anaerosacchariphilus","",80.19,2.87
"325","bin_m3.cct28","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Anaerotignaceae","Anaerotignum","",70.38,1.68
"326","bin_m3.mtb134_sub","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UMGS1872","",95.78,2.37
"327","bin_m3.mtb140","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella","",87.69,1.41
"328","bin_m3.mxb35_sub","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173","UBA7173 sp002491305",89.81,1.26
"329","bin_m3.vmb108","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","",97.32,0
"330","bin_m3.vmb138","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis",99.42,0.96
"331","bin_m3.vmb52","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",85.81,3.2
"332","bin_m3.vmb99","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","","",70.02,0.13
"333","bin_m4.cct152","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","","",98.41,0
"334","bin_m4.cct52","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag1","",87.61,1.98
"335","bin_m4.cct96","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia flexneri",99.45,2.55
"336","bin_m4.mtb156_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-590","",95.47,3.69
"337","bin_m4.mtb157","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",93.56,3.35
"338","bin_m4.mtb172","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",92.47,0.1
"339","bin_m4.vmb145","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","","",97.2,0.72
"340","bin_m4.vmb154","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","",94.59,2.2
"341","bin_m4.vmb26_sub","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-485","",92.33,2.99
"342","bin_m4.vmb3","Bacteria","Firmicutes","Bacilli","RF39","UBA660","UBA5026","",84.27,0
"343","bin_m4.vmb39","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","",94.53,0.57
"344","bin_m4.vmb51","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","CAG-239","CAG-495","",97.85,1.17
"345","bin_m4.vmb68","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum","",98.11,0.4
"346","bin_m4.vmb71","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_J","",90.61,0.77
"347","bin_m4.vmb99","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","CAG-239","CAG-495","",94.62,1.08
"348","bin_m6.cct108","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Anaerotignaceae","Anaerotignum","",96.64,0.34
"349","bin_m6.cct122","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","",76.42,3.88
"350","bin_m6.cct57","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","CAG-115","",94.01,1.51
"351","bin_m6.cct59","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","RUG14156","","",90,1.99
"352","bin_m6.mtb114","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",93.08,0.46
"353","bin_m6.mtb118","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-557","",79.6,2.01
"354","bin_m6.mtb193","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","",92.93,1.15
"355","bin_m6.mtb194","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7182","",96.84,3.82
"356","bin_m6.mtb199","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UMGS1872","",89.83,4.75
"357","bin_m6.mtb48","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",94.89,0.03
"358","bin_m6.mtb69","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","","",98.73,4.11
"359","bin_m6.mtb70","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","",95.69,4.14
"360","bin_m6.mtb89","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","RACS-045","",92.17,1.18
"361","bin_m6.mtb96_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-95","",91.01,4.03
"362","bin_m6.mxb24","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",85.23,3.55
"363","bin_m6.vmb104","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Anaerotruncus","",97.32,0.67
"364","bin_m6.vmb11","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-557","",84.68,2.01
"365","bin_m6.vmb137","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Anaerotruncus","",93.83,0
"366","bin_m6.vmb53","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","",94.72,3.35
"367","bin_m6.vmb95_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_J","",86.2,2.88
"368","bin_m7.cct137_sub","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus intestinalis",98.94,0
"369","bin_m7.cct53","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Paraclostridium","",99.3,0.93
"370","bin_m7.cct54","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia albertii",97.15,2.93
"371","bin_m7.cct59","Bacteria","Proteobacteria","Alphaproteobacteria","RUG11792","","","",85.71,3.43
"372","bin_m7.cct6","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila","",90.3,0.66
"373","bin_m7.mtb146","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","","",81.33,0
"374","bin_m7.mtb33","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA3263","",96.23,0
"375","bin_m7.mtb35","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_B","Enterococcus_B hirae",99.63,0
"376","bin_m7.mtb36","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-485","",96.79,0.75
"377","bin_m7.mtb7","Bacteria","Firmicutes","Bacilli","RF39","UBA660","UBA5578","",96.63,1.69
"378","bin_m7.mtb73","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","",95.65,1.23
"379","bin_m7.vmb113_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","COE1","",97.2,3.12
"380","bin_m7.vmb18","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium_A","Fusobacterium_A ulcerans",100,2.25
"381","bin_m7.vmb21","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",93.95,0.83
"382","bin_m7.vmb22","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",92.13,0.57
"383","bin_m7.vmb28","Bacteria","Deferribacterota","Deferribacteres","Deferribacterales","Mucispirillaceae","Mucispirillum","",97.41,2.59
"384","bin_m7.vmb5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","P3","","",98.39,0.54
"385","bin_m7.vmb62_sub","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",95.52,1.99
"386","bin_m7.vmb72","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","",84.92,2.58
"387","bin_m8.cct156","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",93.95,0.05
"388","bin_m8.cct66","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","","",94.82,1.94
"389","bin_m8.cct7","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","RACS-045","",82.79,1.01
"390","bin_m8.cct94","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R sp009774735",97.99,0
"391","bin_m8.mtb115_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","1XD8-76","",89.56,4.85
"392","bin_m8.mtb129","Bacteria","Proteobacteria","Alphaproteobacteria","UBA3830","UBA3830","","",91.11,0.18
"393","bin_m8.mtb134","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","",94.8,0.5
"394","bin_m8.mtb135","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","",93.84,0.38
"395","bin_m8.mtb157","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","Duncaniella sp002494015",94.53,0.5
"396","bin_m8.mtb202","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum","",98.11,1.35
"397","bin_m8.mtb207","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UMGS1370","",96.62,3.01
"398","bin_m8.mtb215","Bacteria","Firmicutes_B","Dehalobacteriia","UBA4068","UBA5755","","",86.14,0.92
"399","bin_m8.mtb93","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",89.31,1.51
"400","bin_m8.mtb96_sub","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",89.09,3.85
"401","bin_m8.mtb97_sub","Bacteria","Proteobacteria","Alphaproteobacteria","UBA3830","UBA3830","CADBNZ01","",90.11,0
"402","bin_m8.vmb10","Bacteria","Proteobacteria","Alphaproteobacteria","UBA3830","UBA3830","","",92.21,2.2
"403","bin_m8.vmb113","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","",96.26,2.68
